Close,Date,High,Low,Open,Volume,sma_close_5,sma_close_10,sma_close_20,sma_close_50,sma_close_100,sma_close_200,ema_close_5,ema_close_10,ema_close_20,ema_close_50,ema_close_100,ema_close_200,ema_close_12,ema_close_26,macd_close_12_26,signal_macd_close_12_26_9,rsi_close_14,ema_close_14,trix_close_14,stoch_14,signal_stoch_14,stochrsi_rsi_14,cci_tp_20,wr_close_14,atr_close_14,obv_close|volume_1,cmf_close|volume_21,mfi_tp|volume_15,sma_close_14,pgo_close_14,atr_signal,cci_signal,cmf_21_signal,ema_5_10_signal,ema_20_100_signal,macd_signal,mfi_signal,obv_1_signal,pgo_signal,rsi_signal,sma_5_10_signal,sma_20_100_signal,stochrsi_signal,stoch_signal,trix_signal,wr_signal,Symbol,close_price_change
1292.2,2014-01-01,1305.0,1288.2,1301.5,569885,0.0,0.0,0.0,0.0,0.0,0.0,1292.2,1292.2,1292.2,1292.2,1292.2,1292.2,1292.2,1292.2,0.0,0.0,,1292.2,,23.809523809523874,0.0,,20798.114478115054,-76.19047619047613,16.799999999999955,569885,-0.5238095238095226,,0.0,76.91666666666688,Low Volatility,Buy,Sell,Sell,Sell,Sell,Neutral,Divergence,Long,Neutral,Sell,Sell,Sell,Neutral,Sell,Neutral,AXISBANK,0
1097.7,2014-01-01,1106.05,1092.0,1100.9,564158,0.0,0.0,0.0,0.0,0.0,0.0,1097.7,1097.7,1097.7,1097.7,1097.7,1097.7,1097.7,1097.7,0.0,0.0,,1097.7,,40.56939501779405,0.0,,13577.535101403979,-59.43060498220595,14.049999999999955,564158,-0.188612099644119,,0.0,78.12811387900382,Low Volatility,Buy,Sell,Sell,Sell,Sell,Neutral,Divergence,Long,Neutral,Sell,Sell,Sell,Neutral,Sell,Neutral,ICICIBANK,0
665.15,2014-01-01,669.8,663.0,668.0,1123109,0.0,0.0,0.0,0.0,0.0,0.0,665.15,665.15,665.15,665.15,665.15,665.15,665.15,665.15,0.0,0.0,,665.15,,31.617647058823408,0.0,,20925.428194993823,-68.38235294117659,6.7999999999999545,1123109,-0.3676470588235319,,0.0,97.81617647058889,Low Volatility,Buy,Sell,Sell,Sell,Sell,Neutral,Divergence,Long,Neutral,Sell,Sell,Sell,Neutral,Sell,Neutral,HDFCBANK,0
1272.3,2014-01-02,1325.0,1263.35,1292.0,2594412,0.0,0.0,0.0,0.0,0.0,0.0,1285.5666666666668,1288.581818181818,1290.304761904762,1291.4196078431373,1291.8059405940594,1292.0019900497514,1289.1384615384616,1290.725925925926,-1.587464387464479,-0.3174928774928958,0.0,1289.5466666666666,-0.0036503923827886685,14.517437145174425,0.0,,20798.114478115054,-85.48256285482557,40.055555555555586,-2024527,-0.6761814481075779,,0.0,31.763384188626883,Low Volatility,Buy,Sell,Sell,Sell,Sell,Neutral,Sell,Long,Oversold,Sell,Sell,Sell,Neutral,Sell,Oversold,AXISBANK,0
1075.6,2014-01-02,1118.0,1070.1,1096.15,2058457,0.0,0.0,0.0,0.0,0.0,0.0,1090.3333333333335,1093.6818181818182,1095.595238095238,1096.8333333333335,1097.2623762376238,1097.4800995024877,1094.3000000000002,1096.062962962963,-1.7629629629627743,-0.3525925925925549,0.0,1094.7533333333333,-0.0047722679407060644,11.48225469728599,0.0,,13577.535101403979,-88.517745302714,31.601851851851876,-1494299,-0.6452145945031209,,0.0,34.035980076179285,Low Volatility,Buy,Sell,Sell,Sell,Sell,Neutral,Sell,Long,Oversold,Sell,Sell,Sell,Neutral,Sell,Oversold,ICICIBANK,0
657.0,2014-01-02,674.75,653.55,665.0,1807248,0.0,0.0,0.0,0.0,0.0,0.0,662.4333333333334,663.6681818181818,664.3738095238095,664.8303921568627,664.9886138613862,665.0689054726369,663.8961538461539,664.5462962962962,-0.6501424501423116,-0.13002849002846234,0.0,664.0633333333334,-0.002904385254228816,16.273584905660556,0.0,,20925.428194993823,-83.72641509433944,14.26666666666667,-684139,-0.5569108627776526,,0.0,46.05140186915887,Low Volatility,Buy,Sell,Sell,Sell,Sell,Neutral,Sell,Long,Oversold,Sell,Sell,Sell,Neutral,Sell,Oversold,HDFCBANK,0
1260.9,2014-01-03,1269.5,1245.6,1258.0,2403748,0.0,0.0,0.0,0.0,0.0,0.0,1277.3444444444447,1283.5487603305783,1287.5043083900227,1290.22276047674,1291.1939417704145,1291.692517511943,1284.7940828402368,1288.5165980795612,-3.722515239324366,-0.99849734985919,0.0,1285.7271111111113,-0.011582622562395473,19.269521410579554,19.198827455092616,,5837.6707034269775,-80.73047858942044,35.270018281535684,-4428275,-0.26324946832531615,,0.0,35.74991058794256,Low Volatility,Buy,Sell,Sell,Sell,Sell,Neutral,Sell,Long,Oversold,Sell,Sell,Sell,Neutral,Sell,Oversold,AXISBANK,0
1066.8,2014-01-03,1075.0,1045.0,1068.0,2830455,0.0,0.0,0.0,0.0,0.0,0.0,1082.488888888889,1088.794214876033,1092.8528344671201,1095.6555555555556,1096.6591608665817,1097.1748248805725,1090.069230769231,1093.8953360768176,-3.8261053075866585,-1.0472951355913755,0.0,1091.0262222222223,-0.014308849089713324,29.863013698630073,27.30488780457004,,5144.148506860405,-70.13698630136993,31.242870201096878,-4324754,-0.07500543249267125,,0.0,34.14539039254296,Low Volatility,Buy,Sell,Sell,Sell,Sell,Neutral,Sell,Long,Oversold,Sell,Sell,Sell,Buy,Sell,Neutral,ICICIBANK,0
663.1,2014-01-03,666.0,650.0,652.0,1628296,0.0,0.0,0.0,0.0,0.0,0.0,662.6555555555557,663.5648760330579,664.2524943310657,664.7625336409072,664.9512155671014,665.0493143734067,663.7736686390533,664.4391632373113,-0.6654945982579648,-0.23712171167436283,44.63025868826774,663.934888888889,-0.005377723488734666,52.92929292929302,33.606841631258995,100.0,18848.571428571737,-47.07070707070698,14.887751371115176,944157,-0.13028167423941436,,0.0,44.53997003782111,Low Volatility,Buy,Sell,Sell,Sell,Sell,Neutral,Buy,Long,Neutral,Sell,Sell,Buy,Buy,Sell,Neutral,HDFCBANK,1
1040.8,2014-01-06,1069.0,1035.05,1066.0,2691321,0.0,0.0,0.0,0.0,0.0,0.0,1068.5925925925926,1080.0679939894815,1087.8954216607276,1093.5043572984748,1095.5530388692237,1096.6138813494224,1082.489349112426,1089.9623482192756,-7.4729991068495565,-2.3324359298430117,0.0,1084.3293925925927,-0.03206827341687969,6.931886678722118,16.092385024879395,,3681.4164471759054,-93.06811332127788,31.996636225266364,-7016075,-0.26873592833635057,,0.0,32.528419321094916,Low Volatility,Buy,Sell,Sell,Sell,Sell,Neutral,Sell,Long,Oversold,Sell,Sell,Sell,Neutral,Sell,Oversold,ICICIBANK,0
661.7,2014-01-06,663.0,657.0,663.0,1490855,0.0,0.0,0.0,0.0,0.0,0.0,662.3370370370371,663.225807663411,664.009399632869,664.6424342824404,664.8868350608221,665.0159878622286,663.4546426945835,664.2362622567697,-0.7816195621861652,-0.3460212817767233,40.19623816506475,663.6369037037039,-0.007936696988919615,47.27272727272746,38.82520170256034,90.06499031481394,22134.17102966894,-52.72727272727254,12.44091324200914,-546698,0.041475916424414505,,0.0,53.18741374754086,Low Volatility,Buy,Buy,Sell,Sell,Sell,Neutral,Sell,Long,Neutral,Sell,Sell,Buy,Neutral,Sell,Neutral,HDFCBANK,0
