Symbol,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,date,close_price_change
ICICIBANK,1064.1,1074.0,1052.6,1058.2,1869749,2014-01-24,0
AXISBANK,1203.0,1228.8,1195.0,1204.6,2812868,2014-01-24,0
HDFCBANK,670.0,674.95,663.7,673.4,2210725,2014-01-24,0
AXISBANK,1176.0,1183.6,1155.0,1161.1,2175910,2014-01-27,0
HDFCBANK,664.9,664.9,645.6,649.2,4265112,2014-01-27,0
ICICIBANK,1038.8,1039.25,1007.25,1009.8,5073528,2014-01-27,0
HDFCBANK,648.0,656.0,638.6,644.45,4598856,2014-01-28,0
ICICIBANK,1010.7,1028.9,978.75,1018.65,4838691,2014-01-28,1
AXISBANK,1157.0,1179.0,1115.3,1121.75,2530271,2014-01-28,0
HDFCBANK,647.5,650.9,640.55,645.45,2742731,2014-01-29,1
ICICIBANK,1031.8,1038.3,995.6,1001.4,4822350,2014-01-29,0
AXISBANK,1130.3,1149.95,1121.2,1140.25,2185105,2014-01-29,1
HDFCBANK,637.5,639.9,627.65,631.8,2856365,2014-01-30,0
ICICIBANK,986.85,992.3,963.5,974.55,4990516,2014-01-30,0
AXISBANK,1123.0,1128.7,1105.0,1108.8,2295500,2014-01-30,0
HDFCBANK,630.0,636.3,625.1,628.5,2405246,2014-01-31,0
ICICIBANK,984.5,993.4,971.45,987.7,2633542,2014-01-31,1
AXISBANK,1113.2,1127.0,1110.35,1122.95,1144558,2014-01-31,1
ICICIBANK,981.0,982.0,955.4,963.5,3556846,2014-02-03,0
AXISBANK,1112.1,1133.9,1110.7,1123.9,1386338,2014-02-03,1
HDFCBANK,629.95,634.0,625.1,626.5,1194205,2014-02-03,0
AXISBANK,1106.75,1127.35,1101.0,1121.8,1709081,2014-02-04,0
HDFCBANK,621.65,635.5,616.8,630.6,1852326,2014-02-04,1
ICICIBANK,949.85,973.0,943.6,968.65,3088891,2014-02-04,1
AXISBANK,1125.0,1130.0,1111.5,1123.7,1461310,2014-02-05,1
HDFCBANK,631.0,639.8,625.1,637.45,1726346,2014-02-05,1
ICICIBANK,974.95,978.65,955.25,966.25,2989400,2014-02-05,0
AXISBANK,1125.1,1136.0,1098.55,1102.95,2064960,2014-02-06,0
HDFCBANK,638.75,649.6,629.5,647.0,3366736,2014-02-06,1
ICICIBANK,970.0,974.4,946.05,958.05,4178022,2014-02-06,0
AXISBANK,1120.05,1129.4,1110.7,1125.45,1252519,2014-02-07,1
ICICIBANK,970.0,972.0,950.5,960.45,2843749,2014-02-07,1
HDFCBANK,652.4,654.5,642.1,647.75,1007367,2014-02-07,1
ICICIBANK,963.15,967.8,956.25,960.55,1622444,2014-02-10,1
AXISBANK,1131.95,1139.4,1112.05,1118.95,879377,2014-02-10,0
HDFCBANK,647.65,650.15,636.0,643.9,1570205,2014-02-10,0
ICICIBANK,964.9,973.5,962.0,968.85,2043702,2014-02-11,1
AXISBANK,1123.35,1131.8,1116.4,1120.95,914443,2014-02-11,1
HDFCBANK,646.0,647.15,639.3,644.8,1116214,2014-02-11,1
ICICIBANK,977.25,1001.75,977.25,999.2,3902871,2014-02-12,1
AXISBANK,1130.0,1133.0,1114.35,1119.6,1476819,2014-02-12,0
HDFCBANK,646.6,652.8,643.65,645.45,1609240,2014-02-12,1
AXISBANK,1120.2,1124.8,1096.5,1101.5,1179872,2014-02-13,0
HDFCBANK,646.0,648.0,631.25,632.5,788800,2014-02-13,0
ICICIBANK,1000.5,1009.0,980.0,983.6,4479446,2014-02-13,0
HDFCBANK,634.0,643.85,629.35,641.8,1062278,2014-02-14,1
ICICIBANK,986.0,991.3,970.2,988.45,2751503,2014-02-14,1
AXISBANK,1109.0,1111.0,1082.6,1103.05,1755687,2014-02-14,1
ICICIBANK,991.0,1013.85,989.0,1009.15,2594803,2014-02-17,1
AXISBANK,1111.0,1120.0,1105.0,1115.25,788239,2014-02-17,1
HDFCBANK,642.0,652.0,641.1,650.4,912530,2014-02-17,1
HDFCBANK,648.5,664.4,647.4,660.4,1254918,2014-02-18,1
ICICIBANK,1012.0,1043.8,1004.3,1037.8,3476751,2014-02-18,1
AXISBANK,1115.0,1176.5,1108.55,1165.4,2136977,2014-02-18,1
AXISBANK,1164.5,1178.0,1158.0,1166.15,1401475,2014-02-19,1
HDFCBANK,656.2,672.25,655.0,670.05,1015237,2014-02-19,1
ICICIBANK,1035.9,1042.75,1027.55,1030.9,2141792,2014-02-19,0
ICICIBANK,1017.9,1020.0,1006.0,1007.85,1889065,2014-02-20,0
AXISBANK,1154.0,1171.9,1146.45,1157.85,1954784,2014-02-20,0
HDFCBANK,665.8,667.45,660.85,662.75,862109,2014-02-20,0
AXISBANK,1160.0,1198.0,1160.0,1193.35,1861962,2014-02-21,1
ICICIBANK,1011.05,1032.85,1011.05,1025.3,1528082,2014-02-21,1
HDFCBANK,659.85,669.6,659.7,664.4,760968,2014-02-21,1
ICICIBANK,1020.1,1042.5,1018.2,1036.2,1938383,2014-02-24,1
HDFCBANK,662.1,673.0,655.75,671.0,1254746,2014-02-24,1
AXISBANK,1185.0,1244.9,1182.95,1238.2,2562362,2014-02-24,1
ICICIBANK,1043.8,1048.0,1025.05,1031.1,2810513,2014-02-25,0
HDFCBANK,674.0,676.0,666.0,671.1,1005140,2014-02-25,1
