headline~date~Symbol~prediction
Stocks in the news: NIIT Tech, Lakshmi Vilas Bank, HPL Electric, Muthoot Finance, Torrent Pharma~2019-04-08~HDFCBANK~0
Stern action against Chanda Kochhar a warning to India Inc, say corporate governance experts~2019-01-31~ICICIBANK~0
Spot the next 'HDFC Bank'?~2019-03-08~AXISBANK~0
Sensex falls sharply in late trade; 5 factors that dragged the benchmark indices~2019-04-10~HDFCBANK~0
ICICI Prudential surges 9% after strong response to its offer for sale~2019-03-27~ICICIBANK~1
Buy ICICI Bank; target of Rs 450: Motilal Oswal~2019-02-01~ICICIBANK~0
Dalal Street witnesses robust gains: Here's a look the top stocks that hit new 52-week high on BSE~2019-04-26~ICICIBANK~1
Block deal worth Rs 2,500 crore likely in HDFC Bank on April 10: Report~2019-04-09~HDFCBANK~0
Infrastructure is likely to do well if BJP comes back to power: Reliance Securities~2019-04-15~ICICIBANK~0
Falling inflation? Numbers from states don't say so: HDFC Bank~2019-03-29~HDFCBANK~1
HDFC Bank Q4 Net Profit seen up 20.5% YoY to Rs. 5,784.6 cr: Kotak~2019-04-08~HDFCBANK~0
Justice B N Srikrishna: the go-to man for the government and corporates~2019-01-31~ICICIBANK~0
Which is the next 'HDFC Bank' of the Indian stock market?~2019-02-28~AXISBANK~0
Axis Bank OFS issue subscribed 1.15 times so far~2019-02-12~AXISBANK~0
Stock picks of the day: Break below 10,800 on Nifty could trigger further fall to 10,650~2019-02-12~HDFCBANK~0
IndusInd Bank hits 6-month high, rallies 7% in 2019; HSBC maintains buy~2019-03-27~HDFCBANK~0
Hurt and shocked by termination, penalties: Chanda Kochhar~2019-01-31~ICICIBANK~0
ICICI Bank spikes 3% after Goldman Sachs retains buy, raises target price to Rs 492 per share~2019-04-16~ICICIBANK~1
Buy HDFC Bank; target of Rs 2700: ICICI Direct~2019-04-23~HDFCBANK~0
SUUTI stake sale in Axis Bank may bring in Rs 5,100 crore: Report~2019-02-12~AXISBANK~0
Axis Bank Q3 profit likely to grow sharply, NII growth could be over 10%~2019-01-29~AXISBANK~1
Stocks in the news: ICICI Bank, Axis, HCL Tech, BOB, Granules, Mahanagar Gas, Bharat Financial~2019-01-30~ICICIBANK~1
Axis Bank Q4 Net Profit may dip 9.7% QoQ to Rs. 1518.5 cr: Motilal Oswal~2019-04-09~AXISBANK~0
Buy HDFC Bank; target of Rs 2750: Sharekhan~2019-04-23~HDFCBANK~1
Buy HDFC Bank, target Rs 2420: Anand Rathi~2019-02-11~HDFCBANK~1
Goldman Sachs, BNP Paribas bet on 24 stocks as they go overweight India~2019-04-03~AXISBANK~0
Rate cut may give a boost to FII activity; prefer SBI, HDFC Bank: Experts~2019-04-04~HDFCBANK~0
Buy HDFC Bank; target of Rs 2635: Nalanda Securities~2019-04-23~HDFCBANK~0
Buy HDFC Bank; target of Rs 2500: Motilal Oswal~2019-01-23~HDFCBANK~1
Here's a timeline of ICICI Bank-Videocon loan case~2019-01-31~ICICIBANK~0
ICICI Bank gains over 2% on asset quality improvement in Q3, Kochhar indictment~2019-01-31~ICICIBANK~1
