index~Symbol~tweet~date~close_price_change~change_prediction
21508~ICICIBANK~Answered all team Followed by all t & c #SamajhdariSeBanking  Guys join..dont miss this awesome opportunity @piyushpuri12 @Devanginee @chilled_Sup @PritiNivoriya @BirjuDamani @jainusha30 @sd12dec @sapiobhuvi @Sagar14Naik @JayshreeMalhot5 @rdsoprince @PrernaJ54110576 @nikp_05 ~2019-04-15~0~0
3590~AXISBANK~5 Axis Incl. Palletech / Horizontal / Sliding Head / Mill & CNC Turn, plus Assembly - your leading AS9100 contract manufacturer  #ManufacturingUK #EngineeringUK #UKmfg #UKManufacturing ~2019-01-16~1~1
10392~HDFCBANK~BSE Sensex NSE Nifty updates: Top losers include Vedanta, NTPC, Bharti Airtel, HDFC, Wipro, PowerGrid, Infosys. While, gainers include Asian Paints, Yes Bank, M&M, Sun Pharma and Axis Bank  ~2018-12-19~0~1
20883~ICICIBANK~ICICI Bank, Asian Paints, Bajaj Finance, Pidilite Industries, UPL, Capri Global Capital and RBL Bank, too, touched new highs today.~2019-03-29~0~1
10271~HDFCBANK~Closing Bell: Indices end higher for fifth session; #Nifty settles above 10,850 mark. Gainers: Tata Motors (+4.5%), Power Grid (+4%), HDFC (+3%). Losers: Kotak Mahindra Bank (-3%), Infy (-2%)  #closingbell #Sensex #Nifty~2018-12-17~1~1
7406~AXISBANK~   The book was the 60s looking back on the 30s, and we   re now in 2019 looking back on the 60s, looking back on the 30s. Aaron Sorkin has done a really great job shifting this story on its axis.    - @gidglick on telling the @mockingbirdbway story in 2019 ~2019-04-09~1~1
17648~ICICIBANK~Short-ASHOKLEY-228-98.95-SL-100.25-TGT-97.65 Short-AXISBANK-63-617.50-SL-622.20-TGT-612.80 Short-BANKBARODA-185-118.20-SL-119.80-TGT-116.60 Short-DHFL-78-239.90-SL-243.70-TGT-236.10 Short-HINDALCO-211-213.60-SL-215.00-TGT-212.20 Short-ICICIBANK-82-361.90-SL-365.50-TGT-358.30 2/4~2019-01-02~0~1
16191~ICICIBANK~#Current_Affairs Q. Which of the following bank has launched CASA campaign    KBL SB     TASC   ? a) ICICI Bank b) Karnataka Bank c) HDFC Bank d) YES Bank Check Answer Here:  ~2018-11-19~0~1
19914~ICICIBANK~Former @ICICIBank MD & CEO @CKforCleanIndia  has been called by Enforcement Directorate, Mumbai for questioning in ICICI Bank- Videocon loan case. Videocon's Venugopal Dhoot has also been called today.Yesterday,ED had searched premises of Chanda Kochhar and Venugopal Dhoot.~2019-03-01~1~1
19024~ICICIBANK~SR588472260 on 10-JAN-19. It will be completed within 7 wkg days. Then bank msg received 21days then 14days but I didn't receive   will get or not...totally harshment to customer....only marketing gud...customer complaints no value..~2019-02-06~1~1
14879~HDFCBANK~FAB PHONES FEST | Smartphones  Deals Revealed | Sale starts from midnight 12am   Upcoming deals on smartphones  Sale starts 11th - 13th April  Big Deals in store, Struggle no more  10% Instant Discount on HDFC Bank Debit, Credit Cards & EMI    ~2019-04-10~0~0
14664~HDFCBANK~Today   s   Star Stocks  #ULTRACEMCO  4104 to 4206 #HDFCBANK  2285 -2313.7 #Tata Steel 536-551 BTST  #Bata  1397 -1424 BTST  #UBL 1410 - 1442 BTST   For more such Personalised Guided Trades At a Very nominal cost @Less than a@Cup of Coffee  DM now ! Refer the screenshot ! ~2019-04-05~1~0
15747~ICICIBANK~ICICI Bank National 8A, Morvi - Branch & ATM Shop No 2122 And 124 And 125, Shakti Chamber 1, National 8A, Morbi - 2, Morbi, Gujarat 363642 080006 67777  ~2018-11-05~0~0
20856~ICICIBANK~List of companies for keyword Acquisition : SCANPOINT GEOMATICS LTD,POWER FINANCE CORPORATION LTD,VALECHA ENGINEERING LTD.-,ICICI Prudential Life Insurance Company Ltd,Ram Minerals And Chemicals Ltd,Sheela Foam Ltd,BRIDGE SECURITIES LTD,TOURISM FINANCE CORPORATION OF INDIA LTD~2019-03-28~1~1
13627~HDFCBANK~Dehradun District VLE Workshop on Patanjali Products, PMSYM, PMJAY, IRCTC, HDFC Bank and other services.       At IT Park, Dehradun~2019-03-11~1~0
13299~HDFCBANK~Polaris Capital Management Position in Deckers Outdoor $DECK Trimmed by $1.20 Million; As Hdfc Bank LTD $HDB Stock Declined, Shareholder Sloane Robinson Llp Trimmed Its Stake by $2.21 Million   ~2019-03-01~1~1
9006~HDFCBANK~14-11 WHATSAPP CALLS DAY TRADE UNITED SPIRIT 644 to 653 HDFC 1836 to 1850 AU BANK 597.95 to 604  ROCKET CALLS LINDE 522.15 to 678-4 days IOL Chem 141 to 164.50-9 days MARUTI 6742 to 7409-12 days RADICO 349 to 454-20 days*~2018-11-14~1~0
13538~HDFCBANK~Top trading calls by Anand Rathi: Buy JSW Steel, HDFC Bank and ITC  ~2019-03-07~1~0
2606~AXISBANK~#DeirEzzor : #SDF advanced in Al Kishma from two axis & managed to capture al-Qahadi, al-Nafilah & Abu Marih neighbourhood (40% of the town). #CizireStorm ~2018-12-28~1~0
3585~AXISBANK~Announcing the Axis Call of Duty League (ACL)! There will be a total of 16 teams grinding for 4 spots in the Axis Esports League Grand Finals in October.   - @FaMeSEA & @VenomReDAsia in G.Finals!  - 16 Teams  - RM50, 000  Register NOW at   #BlackOps4 ~2019-01-16~1~0
13293~HDFCBANK~@Bajajfinserv4yo Greetings!EMI of Rs.4,084/- for Loan no.5820CD79898681 is due on 02-MAR-19.Keep your HDFC bank a/c ending 4018 funded to avoid penal charges.For queries chat with BLU    This is shocking.... Shows incompetence of concerned..urgent action pl~2019-03-01~1~0
21295~ICICIBANK~Voltas 1.5 Ton 3 Star Split Inverter AC @ Rs. 30999/-  Extra 1500 OFF with ICICI credit cards  Link :    37989 @ amazon~2019-04-09~1~1
18299~ICICIBANK~#TITAN #ADANIPORTS #WIPRO #UPL #AXISBANK #INFY #BAJFINANCE #HDFC #ASIANPAINT #RELIANCE #BAJAJFINSV #TATAMOTORS #ICICIBANK #YESBANK  Nifty 50 Constituent Analysis for 23rd Jan 2019 ~2019-01-22~0~0
8796~HDFCBANK~JustDial@All HYD HOME,MORTGAGE,Plot+W.OutPLAN Self Constrction LOAN@HDFC,Canra,PNB,Chola,HF BANKS NoADV DorStepSrvice ChrgesAply Nagbushnm Atapur182P 9948942000 @ Hyderabad  ~2018-11-07~1~0
20289~ICICIBANK~ICICI lead the business through technology is the core which is reflected in ThinkLeadership! @IBMthinkLeaders @ICICIBank @ibm_in @KaranBajwa_IN @GinniRometty @Prativa_M ~2019-03-13~1~1
1143~AXISBANK~SAURABH MUKHERJEA to @ETNOWlive  Will focus on quality banks, IT, pharma as tactical positions for next 12 mths Kotak, HDFC Bank would be my 'go to place' to play strategy Conservative banks like City Union, DCB Bank are well-placed Will stay away from ICICI Bank, Axis Bk~2018-11-26~1~1
5950~AXISBANK~Public consultation on the Core Bus corridors for routes 3(Ballymun to City Centre) and 4(Finglas to Phibsboro) will take place on Wednesday the 3rd of April in the Axis Ballymun from 15:00 until 20:00.       feel free to message me for more information ~2019-03-11~1~1
20272~ICICIBANK~Todays 14/03/19 trades on my system. Do at your own risk GAIL SHORT AT 348.45 ICICIBANK SHORT AT 384.25 LT GO SHORT AT 1372.75 POWERGRID SHORT AT 193 SUNPHARMA SHORT AT OPEN~2019-03-13~1~0
9026~HDFCBANK~#OnePlus6T Offer :  Instant Rs.1,500 Discount with HDFC Credit and Debit Cards.  #Amazon #Deals ~2018-11-15~1~1
13661~HDFCBANK~Nifty Bank at Record High From 52 Wk Low Nifty Bank +20% Yes Bk       +62% Axis Bk      +54% ICICI Bk     +51% Kotak Bk    +27% IndusInd    +19% HDFC Bk    +18%  Axis & ICICI at 52 Wk High HDFC Bank 3% away   Distance to 52 Wk High Yes Bk     -41% IndusInd -22% Kotak      -10%~2019-03-12~1~1
7137~AXISBANK~LastMile integrated with @Ripple, being used by Kotak Mahindra and AXIS banks  @KotakBankLtd @AxisBank #XRPcommunity $XRP @XRPTrump @haydentiff @XrpCenter @Hodor @digitalassetbuy @ThinkingCrypto1 @sentosumosaba @BankXRP  Credit: @nostra77 ~2019-04-04~1~1
21735~ICICIBANK~Answer: ICICI Lombard Complete Health Insurance  #ContestAlert @ICICILombard   Join @aakashc89784418 @blessedkamal @emNishant @Sagar14Naik @karan875 @GauravP26479152 @LaxmiChaurasia9 @suriyaisthebest @porwal_sarika~2019-04-24~1~0
15965~ICICIBANK~Experts from ICICI Management Meet dated Feb 28,2017. Reliance Defence Ltd had apprised ICICI team    potential market size    for Reliance n #RafaleDeal s around    22,000 cr n 6 years  (see Pic 2). Total offset obligation n #RafaleDeal s around    29,500 cr Rafale Deal =    59,500 cr ~2018-11-13~1~1
15046~HDFCBANK~ICICI Bank..I think HDFC Bank did have minor sell recos.. which is the non-Indian one?~2019-04-15~1~0
13344~HDFCBANK~End of Day report   Justdial 529.75 to 523...6.75pts  Tvsmotors 471 to 495...24pts  Wipro 367.5 to 369..1.5pts  M&m 656 to 662..6pts  Jublfood 1274 to 1287.9..14pts  Bata 1291.5 to 1312...20.5pts Hdfcbank 2096 to 2117..21pts  Techm 816 to 817.5..1.5pts Amar2ptsl~2019-03-05~1~0
19387~ICICIBANK~Cullen Capital Management Lowered Icici Bank LTD (Adr) (IBN) Stake; Home Federal Bancorp Of Louisiana (HFBL)   s Sentiment Is 2     Lives Advice     ICICI  Bank  ~2019-02-14~1~0
16591~ICICIBANK~MSCI GLOBAL SMALL CAP INDEXES India  13 addition and 37 deletion   Additions  ADANI TRANSMISSION  AU SMALL FINANCE BANK  BHARAT FINANCIAL INCL  EQUITAS HOLDINGS  FUTURE CONSUMER  ICICI SECURITIES  LEMON TREE HOTELS  MERCK  PNB HOUSING FINANCE  SCHAEFFLER INDIA  SUNTECK REALTY~2018-12-03~1~1
8976~HDFCBANK~#Moneypitara: HDFC Bank Personal Loan | Features and Benefits: #loan #personalloan #money #hdfc  ~2018-11-14~1~1
18888~ICICIBANK~357+ ICICI booked partial now final looking to book around 362 lvls  ~2019-02-05~0~1
14167~HDFCBANK~Get your tickets  for our next Rise Presents on 'Open Banking and The World of API's.' 3/28 with @HDFC_Bank @Sol_Brille @AbhishantPant @Shashankschy @iamabhiee @arvindsubraman   #FinTech~2019-03-25~1~1
17618~ICICIBANK~Eg. of Boomerang Effect-When Kotak Bank mailers have Ranveer Singh writ large, followed by Ranbir Kapoor wooing you on ICICI Bank updates,you know that   s the closest you will come to feeling like Deepika Padukone(and hence strangely, feel convinced to bank with Axis).#kotakbank~2019-01-02~0~0
10300~HDFCBANK~End the year on a high note with HDFC Bank #2018UltimateTravelDeals. Book your next flight on @makemytrip or @YatraOfficial using your HDFC Bank Credit Card and get 10x reward points! Know more:  ~2018-12-17~1~1
17843~ICICIBANK~ICICI BANK Monthly Breakout. Can expect 580 to 715 in 8 to 10 months as long as stays above 355.  ~2019-01-08~1~1
11548~HDFCBANK~ GREAT INDIAN SALE  Coming Soon  #AmazonGreatIndianSale  Sale starts 20th - 23rd January  10% Instant Discount on HDFC Bank Debit, Credit Cards & EMI  Sale starts early for Prime Members 12 Noon, 19th January    ~2019-01-17~1~0
9971~HDFCBANK~The phone with a great camera, Redmi Note 6 Pro, comes with a great offer in @Flipkart's #BigShoppingDays sale. Last day to avail additional 10% instant bank discount on @HDFC_Bank cards. Sale starts at 12 noon. Also available on  ~2018-12-07~1~0
12829~HDFCBANK~#BigC brings you incredible offers on the all-new #VivoV15Pro. #Perbook this chic piece at 0 down payment only for Rs 28,990. Also, avail money saving offers like 5% #cashback on #HDFC cards and one-time screen replacement absolutely #free #BigCMobiles #Vivo #GoPop ~2019-02-20~1~1
21285~ICICIBANK~  $IBN ICICI Bank #ICICIBank up 1.5% = $548 million gain. $IBN has made notable gains in 7 of the last 11 trading sessions, 4 days consecutively from Mar 26-29. #stockmarket #stocks #trading #market #investing #NASDAQ~2019-04-09~1~1
